Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Lebanon,LBN,1804941,2041229,2210772,2417836,2596406,2588929,2638054,2684675,3076132,3610665,3842778,4569378,4764741,5538634,6711121
Liberia,LBR,1118657,1217901,1333978,1474567,1645836,1853001,2111671,2134097,2001624,2160478,2848456,3135651,3607860,4135659,4586788
Libya,LBY,1448417,1667825,1958914,2327490,2754696,3219466,3746715,4220450,4650885,5036171,5357891,5710154,6058748,6285750,6492164
St. Lucia,LCA,89697,94636,101035,106310,111067,117822,124292,133367,141760,148834,156729,161816,170011,176646,180024
Latin America & Caribbean,LCN,219825927,245143683,272001001,300021013,329337968,360198758,392733297,425524544,458011033,489970940,520903450,549590595,576783744,603096250,628488528
Least developed countries: UN classification,LDC,240518433,264174179,292045744,321797581,353691338,390612563,432185325,479814021,534731006,594801259,657215864,726331177,798563392,876869863,963511276
Low income,LIC,143735578,157248410,173638890,192255470,212634810,234993767,258935415,287081457,321531045,360601917,401768207,449765047,503324676,559335524,618780841
Liechtenstein,LIE,16493,18168,20235,22151,23931,25879,27036,28129,29553,31348,33184,34452,35471,36615,37658
Sri Lanka,LKA,9874476,10849975,11937600,13002231,14012899,15035834,15948487,16878189,17736821,18367288,18777601,19387153,19983984,20425000,21203000
Lower middle income,LMC,876215767,958816595,1050508855,1151780781,1264441849,1390765927,1533336558,1685368183,1843386680,1999275190,2155781287,2310951151,2468136919,2628465458,2790617792
Low & middle income,LMY,2252173227,2435054181,2676854299,2944468939,3209450526,3475736541,3770062283,4088115461,4409608113,4715287096,5012852771,5301915963,5593451949,5894258056,6205233900
Lesotho,LSO,837270,903763,983685,1077095,1193521,1340255,1489691,1630996,1782285,1934291,2032804,2005940,1987129,2014990,2075001
Late-demographic dividend,LTE,1096903435,1165421491,1277803283,1400911469,1506611965,1595481001,1691255649,1796650128,1892668357,1975201173,2045125923,2100746529,2154245139,2206931627,2261412980
Lithuania,LTU,2778550,2935200,3078850,3213622,3328664,3413202,3514205,3655049,3700114,3601613,3499536,3377075,3198231,2987773,2868231
Luxembourg,LUX,313970,327750,335850,346600,360731,364150,365998,373450,392175,414225,436300,458095,488650,530946,582014
Latvia,LVA,2120979,2240623,2323619,2395674,2470989,2511701,2562047,2653434,2614338,2457222,2367550,2263122,2177322,2034319,1959537
"Macao SAR, China",MAC,167791,193561,233000,248767,239075,238071,271918,320773,362311,393373,427782,471597,515239,564039,612836
St. Martin (French part),MAF,3893,4308,5193,6156,7246,8771,9061,24378,31811,26849,28935,33186,36885,37009,36065
Morocco,MAR,12328532,13857649,15307273,16696891,18198844,19990012,22002643,23903592,25711406,27383473,28793679,30115214,31536811,33241898,35126296
Monaco,MCO,22452,23236,23304,24051,25524,26745,28510,29229,29865,30995,32147,33500,34872,36460,38070
Moldova,MDA,2043664,2228429,2377848,2515217,2638126,2728099,2840565,2940177,2977130,2946401,2923783,2895147,2867964,2859458,2802170
Madagascar,MDG,5099373,5625164,6234465,6946620,7773449,8716553,9780872,10952395,12301336,13902688,15766806,17802997,19996473,22346641,24894380
Maldives,MDV,89863,100171,109891,123354,140563,158272,182850,209785,236265,259183,279398,311265,343452,397237,475513
Middle East & North Africa,MEA,105203269,117271166,131026912,146213388,163532323,184628605,210648811,238565130,265656619,292041181,315326801,340143481,369823252,401974219,433597628
Mexico,MEX,37771859,42771079,48431972,54689943,61242190,67761372,74352631,80788721,87075138,93147044,98899845,104514932,110815271,117274155,123333376
Marshall Islands,MHL,14662,16710,18961,22341,26552,30576,36557,44083,49245,50533,50753,54476,56174,56717,57735
